task_id,plan_id,bucket_id,assignee_ids,title,description,status,priority,due_date,tags,checklist,comments,attachments
t025,p007,b021,,Review nginx ingress architecture,Coordinate with the backend team on Kubernetes migration.,todo,9,2026-05-08,,[],[],[]
t026,p013,b043,"u125,u211,u283",Coordinate with the security task force to audit the entire IAM policy surface across all AWS accounts and produce a prioritized remediation backlog based on least-privilege deviations,Investigate why Monitoring usage spiked last week and produce a write-up.,todo,1,2026-07-03,,[],[],[]
t027,p040,b147,,,Document the steps to run Docker integration in the new environment.,todo,1,2026-03-21,,[],[],[]
t028,p011,b034,,Set up PostgreSQL for data team,Coordinate with the ML team on Security migration.,todo,1,2026-06-01,"infrastructure,cloud",[],[],[]
t029,p016,b054,"u106,u014,u122",Update Redis configuration,Review the Security configuration across production and propose adjustments.,todo,1,2026-04-29,"infrastructure,terraform",[],[],[]
t030,p036,b132,,Patch CVE in auth gateway,Investigate why Security usage spiked last week and produce a write-up.,todo,9,2026-01-25,"infrastructure,kubernetes",[],[],[]
t031,p039,b144,,Logs,Provision Kubernetes resources for the upcoming launch and verify capacity.,todo,9,2026-06-10,"infrastructure,monitoring",[],[],[]
t032,p046,b168,,Review job runner architecture,Coordinate with the platform team on Security migration.,todo,5,2026-06-23,"infrastructure,terraform,monitoring",[],[],[]
t033,p013,b042,,Update monitoring stack configuration,Review the Kubernetes configuration across production and propose adjustments.,todo,5,2026-05-23,"infrastructure,terraform",[],[],[]
t034,p009,b027,,Refactor,Coordinate with the data team on Monitoring migration.,todo,9,2026-05-25,"infrastructure,reliability",[],[],[]
t035,p042,b152,,Update Spark cluster configuration,Document the steps to run Docker integration in the new environment.,todo,1,2026-07-12,"infrastructure,security",[],[],[]
t036,p042,b154,,Audit API gateway security and policies,Provision Linux resources for the upcoming launch and verify capacity.,todo,3,2026-09-01,,[],[],[]
t037,p014,b044,u144,Investigate and document the root cause of the intermittent 502 errors observed during the morning peak traffic window in the production payment gateway and propose a remediation plan covering load balancing strategy,Investigate why Docker usage spiked last week and produce a write-up.,todo,5,2026-07-16,,[],[],[]
t038,p005,b009,,Audit Kubernetes cluster security and policies,Document the steps to run Docker integration in the new environment.,todo,1,2026-06-03,,[],[],[]
t039,p038,b138,"u132,u200",Review job runner architecture,Coordinate with the platform team on Kubernetes migration.,todo,9,2026-05-31,"infrastructure,monitoring",[],[],[]
t040,p028,b100,u199,Audit API gateway security and policies,Provision Docker resources for the upcoming launch and verify capacity.,todo,5,,,[],[],[]
t041,p035,b128,,Update Spark cluster configuration,Document the steps to run AWS integration in the new environment.,todo,3,2026-04-17,"infrastructure,cost,reliability",[],[],[]
t042,p023,b080,,Set up monitoring stack for platform team,Document the steps to run Docker integration in the new environment.,todo,1,2026-03-13,"infrastructure,terraform",[],[],[]
t043,p007,b021,u177,Investigate payment service flaky tests,Review the Monitoring configuration across production and propose adjustments.,todo,9,2026-08-07,,[],[],[]
t044,p001,b004,"u004,u002,u009",Audit API gateway security and policies,Document the steps to run Kubernetes integration in the new environment.,todo,9,2026-05-27,,[],[],[]
t045,p023,b082,"u034,u296,u112",Docs,Provision Docker resources for the upcoming launch and verify capacity.,todo,5,,"infrastructure,reliability",[],[],[]
t046,p019,b066,u169,Investigate and document the root cause of the intermittent 502 errors observed during the morning peak traffic window in the production payment gateway and propose a remediation plan covering load balancing strategy,Coordinate with the ML team on Kubernetes migration.,todo,9,2026-05-03,,[],[],[]
t047,p032,b116,"u226,u221",Design and validate a phased migration plan for moving the monolithic billing service into the new microservices platform without exceeding the agreed maintenance window for end-customer-facing endpoints,Review the Linux configuration across production and propose adjustments.,todo,3,2026-05-26,"infrastructure,monitoring",[],[],[]
t048,p001,b004,,,Review the Linux configuration across production and propose adjustments.,todo,3,2026-06-02,"infrastructure,infrastructure,cost",[],[],[]
t049,p029,b104,"u268,u267",Design and validate a phased migration plan for moving the monolithic billing service into the new microservices platform without exceeding the agreed maintenance window for end-customer-facing endpoints,Provision AWS resources for the upcoming launch and verify capacity.,todo,3,2026-06-15,,[],[],[]
t050,p028,b099,"u084,u116,u249",Coordinate with the security task force to audit the entire IAM policy surface across all AWS accounts and produce a prioritized remediation backlog based on least-privilege deviations,Investigate why Monitoring usage spiked last week and produce a write-up.,todo,5,,"infrastructure,kubernetes,infrastructure",[],[],[]
t051,p030,b107,,Roll out feature flag dashboard to production,Document the steps to run Security integration in the new environment.,todo,1,2026-08-04,,[],[],[]
t052,p040,b146,"u028,u044,u090",Investigate and document the root cause of the intermittent 502 errors observed during the morning peak traffic window in the production payment gateway and propose a remediation plan covering load balancing strategy,Coordinate with the data team on Docker migration.,todo,3,2026-06-18,,[],[],[]
t053,p001,b001,,Design and validate a phased migration plan for moving the monolithic billing service into the new microservices platform without exceeding the agreed maintenance window for end-customer-facing endpoints,Document the steps to run Linux integration in the new environment.,todo,1,2026-06-06,,[],[],[]
t054,p004,b016,"u012,u004",Migrate search index to v2.0,Review the AWS configuration across production and propose adjustments.,todo,3,2026-08-08,,[],[],[]
t055,p003,b015,u010,,Provision Docker resources for the upcoming launch and verify capacity.,todo,9,2026-07-04,,[],[],[]
t056,p020,b068,"u161,u029,u089",Review nginx ingress architecture,Provision Monitoring resources for the upcoming launch and verify capacity.,todo,3,2026-02-03,,[],[],[]
t057,p007,b021,u251,Coordinate with the security task force to audit the entire IAM policy surface across all AWS accounts and produce a prioritized remediation backlog based on least-privilege deviations,Document the steps to run Monitoring integration in the new environment.,todo,9,2026-06-03,,[],[],[]
t058,p045,b163,,Set up PostgreSQL for platform team,Document the steps to run Monitoring integration in the new environment.,todo,9,2026-06-17,,[],[],[]
t059,p044,b160,,Migrate search index to v2.0,Review the Monitoring configuration across production and propose adjustments.,todo,1,2026-06-05,"infrastructure,reliability,security",[],[],[]
t060,p014,b044,,Roll out audit log viewer to production,Document the steps to run Security integration in the new environment.,todo,5,2026-07-04,"infrastructure,security",[],[],[]
t061,p034,b122,,Investigate payment service cost regression,Review the Docker configuration across production and propose adjustments.,todo,5,2026-05-23,"infrastructure,monitoring",[],[],[]
t062,p040,b146,"u016,u290,u252",Update Kafka configuration,Investigate why Security usage spiked last week and produce a write-up.,todo,9,2026-06-19,"infrastructure,aws,cost",[],[],[]
t063,p049,b179,,Design and validate a phased migration plan for moving the monolithic billing service into the new microservices platform without exceeding the agreed maintenance window for end-customer-facing endpoints,Investigate why Kubernetes usage spiked last week and produce a write-up.,todo,3,2026-08-13,,[],[],[]
t064,p018,b061,u129,Audit API gateway security and policies,Investigate why Linux usage spiked last week and produce a write-up.,todo,1,,"infrastructure,reliability,review",[],[],[]
t065,p027,b098,"u301,u095,u183",Review payment service architecture,Document the steps to run Kubernetes integration in the new environment.,todo,5,2026-06-16,"infrastructure,cost",[],[],[]
t066,p015,b050,"u019,u154,u302",Migrate event bus to v18,Investigate why Docker usage spiked last week and produce a write-up.,todo,9,2026-06-06,,[],[],[]
t067,p048,b174,u228,Roll out cost report to staging,Provision Docker resources for the upcoming launch and verify capacity.,todo,1,2026-07-29,"infrastructure,kubernetes,monitoring",[],[],[]
t068,p028,b101,u208,Set up PostgreSQL for backend team,Coordinate with the backend team on Linux migration.,todo,9,2026-06-20,"infrastructure,aws",[],[],[]
t069,p021,b073,,Patch CVE in search index,Document the steps to run Terraform integration in the new environment.,todo,5,2026-06-16,,[],[],[]
t070,p037,b133,"u001,u220",Docs,Provision Monitoring resources for the upcoming launch and verify capacity.,todo,5,2026-07-27,"infrastructure,kubernetes,terraform",[],[],[]
t071,p033,b119,,Audit CI pipeline security and policies,Investigate why Security usage spiked last week and produce a write-up.,todo,9,2026-07-28,"infrastructure,terraform,monitoring",[],[],[]
t072,p029,b105,,Review auth gateway architecture,Provision Security resources for the upcoming launch and verify capacity.,todo,9,,,[],[],[]
t073,p022,b077,,Refactor,Coordinate with the backend team on Monitoring migration.,todo,5,2026-04-29,"infrastructure,kubernetes,cost",[],[],[]
t074,p018,b060,"u157,u028,u201",Review search index architecture,Review the Docker configuration across production and propose adjustments.,todo,3,2026-06-05,"infrastructure,kubernetes",[],[],[]
t075,p048,b174,"u115,u183",Patch CVE in payment service,Provision AWS resources for the upcoming launch and verify capacity.,todo,9,2026-05-21,,[],[],[]
t076,p003,b006,u010,Review payment service architecture,Review the Monitoring configuration across production and propose adjustments.,todo,9,2026-05-30,"infrastructure,review,monitoring",[],[],[]
t077,p039,b141,u176,Audit CI pipeline security and policies,Provision Kubernetes resources for the upcoming launch and verify capacity.,todo,5,2026-07-05,"infrastructure,monitoring,kubernetes",[],[],[]
t078,p028,b099,"u223,u150",Roll out feature flag dashboard to canary,Document the steps to run Linux integration in the new environment.,todo,5,2026-06-28,,[],[],[]
t079,p032,b115,,Update PostgreSQL configuration,Provision Monitoring resources for the upcoming launch and verify capacity.,todo,5,2026-07-04,"infrastructure,reliability",[],[],[]
t080,p015,b048,"u205,u302",Set up Spark cluster for platform team,Investigate why Terraform usage spiked last week and produce a write-up.,todo,9,2026-03-08,,[],[],[]
t081,p047,b171,"u165,u110",Update monitoring stack configuration,Coordinate with the backend team on Docker migration.,todo,3,2026-06-21,,[],[],[]
t082,p040,b147,,Migrate nginx ingress to v15,Review the Kubernetes configuration across production and propose adjustments.,todo,5,2026-07-16,,[],[],[]
t083,p037,b134,,Patch CVE in payment service,Document the steps to run Terraform integration in the new environment.,todo,5,2026-03-09,,[],[],[]
t084,p023,b079,,Coordinate with the security task force to audit the entire IAM policy surface across all AWS accounts and produce a prioritized remediation backlog based on least-privilege deviations,Review the Docker configuration across production and propose adjustments.,todo,3,2026-09-03,"infrastructure,review",[],[],[]
t085,p010,b031,"u277,u096,u220",Cleanup,Provision Kubernetes resources for the upcoming launch and verify capacity.,todo,1,2026-09-12,"infrastructure,security",[],[],[]
t086,p046,b169,,,Coordinate with the ML team on Linux migration.,todo,5,2026-03-30,"infrastructure,devops,cloud",[],[],[]
t087,p049,b180,,Docs,Document the steps to run AWS integration in the new environment.,todo,5,2026-05-22,,[],[],[]
t088,p029,b106,,Document job runner runbook,Coordinate with the ML team on Monitoring migration.,todo,1,,"infrastructure,devops",[],[],[]
t089,p046,b168,"u051,u220",Investigate nginx ingress flaky tests,Investigate why Kubernetes usage spiked last week and produce a write-up.,todo,5,2026-09-05,"infrastructure,cloud,monitoring",[],[],[]
t090,p047,b171,"u288,u063",Review event bus architecture,Document the steps to run AWS integration in the new environment.,todo,1,2026-06-12,,[],[],[]
t091,p041,b148,,Docs,Review the Docker configuration across production and propose adjustments.,todo,3,2026-09-16,,[],[],[]
t092,p022,b078,,Review auth gateway architecture,Provision AWS resources for the upcoming launch and verify capacity.,todo,5,,,[],[],[]
t093,p001,b001,,Update monitoring stack configuration,Provision Kubernetes resources for the upcoming launch and verify capacity.,todo,9,2026-07-22,"infrastructure,review",[],[],[]
t094,p023,b079,u021,Investigate and document the root cause of the intermittent 502 errors observed during the morning peak traffic window in the production payment gateway and propose a remediation plan covering load balancing strategy,Review the Monitoring configuration across production and propose adjustments.,todo,1,2026-07-07,"infrastructure,devops",[],[],[]
t095,p005,b017,,Patch CVE in auth gateway,Provision Docker resources for the upcoming launch and verify capacity.,todo,3,2026-07-22,,[],[],[]
t096,p050,b183,u023,Investigate event bus cost regression,Coordinate with the data team on Monitoring migration.,todo,1,2026-05-29,"infrastructure,infrastructure",[],[],[]
t097,p001,b004,u004,Coordinate with the security task force to audit the entire IAM policy surface across all AWS accounts and produce a prioritized remediation backlog based on least-privilege deviations,Provision AWS resources for the upcoming launch and verify capacity.,todo,1,2026-04-18,"infrastructure,kubernetes,monitoring",[],[],[]
t098,p014,b046,u255,Design and validate a phased migration plan for moving the monolithic billing service into the new microservices platform without exceeding the agreed maintenance window for end-customer-facing endpoints,Document the steps to run Kubernetes integration in the new environment.,todo,5,2026-06-06,"infrastructure,cloud,review",[],[],[]
t099,p033,b120,u246,Investigate and document the root cause of the intermittent 502 errors observed during the morning peak traffic window in the production payment gateway and propose a remediation plan covering load balancing strategy,Provision Monitoring resources for the upcoming launch and verify capacity.,todo,1,2026-06-10,,[],[],[]
t100,p043,b156,"u024,u025",Document job runner runbook,Review the Security configuration across production and propose adjustments.,todo,9,,,[],[],[]
t101,p020,b069,"u049,u254,u172",Audit Kubernetes cluster security and policies,Review the Docker configuration across production and propose adjustments.,todo,5,,,[],[],[]
t102,p047,b172,"u200,u226,u263",Logs,Review the Terraform configuration across production and propose adjustments.,todo,9,2026-06-11,"infrastructure,security",[],[],[]
t103,p003,b015,,Cleanup,Provision Kubernetes resources for the upcoming launch and verify capacity.,todo,1,2026-06-09,"infrastructure,cloud",[],[],[]
t104,p027,b097,"u142,u194,u031",Update Spark cluster configuration,Document the steps to run Kubernetes integration in the new environment.,todo,3,2026-05-25,,[],[],[]
t105,p004,b008,"u004,u012",Roll out audit log viewer to staging,Document the steps to run Terraform integration in the new environment.,todo,9,2026-06-18,"infrastructure,aws,infrastructure",[],[],[]
t106,p036,b130,"u230,u151,u153",Migrate nginx ingress to v18,Provision Kubernetes resources for the upcoming launch and verify capacity.,todo,1,2026-06-18,"infrastructure,aws,review",[],[],[]
t107,p033,b120,,Document nginx ingress runbook,Review the Kubernetes configuration across production and propose adjustments.,todo,3,,"infrastructure,kubernetes",[],[],[]
t108,p042,b153,,Set up PostgreSQL for ML team,Provision Kubernetes resources for the upcoming launch and verify capacity.,todo,1,2026-03-23,"infrastructure,infrastructure",[],[],[]
t109,p010,b033,"u169,u244,u232",Refactor,Document the steps to run Monitoring integration in the new environment.,todo,3,,,[],[],[]
t110,p009,b029,,Roll out audit log viewer to canary,Document the steps to run Kubernetes integration in the new environment.,todo,3,2026-06-06,"infrastructure,aws,cloud",[],[],[]
t111,p044,b160,,Investigate auth gateway latency spike,Provision AWS resources for the upcoming launch and verify capacity.,todo,3,2026-07-03,"infrastructure,cost",[],[],[]
t112,p013,b041,"u230,u106",Update Redis configuration,Investigate why Kubernetes usage spiked last week and produce a write-up.,todo,1,,"infrastructure,review",[],[],[]
t113,p048,b176,,Set up PostgreSQL for ML team,Coordinate with the ML team on AWS migration.,todo,5,2026-06-14,,[],[],[]
t114,p047,b172,,,Review the Docker configuration across production and propose adjustments.,todo,5,2026-06-07,"infrastructure,devops",[],[],[]
t115,p047,b170,"u165,u105,u236",,Investigate why AWS usage spiked last week and produce a write-up.,todo,1,2026-05-30,,[],[],[]
t116,p049,b178,,Patch CVE in event bus,Investigate why Security usage spiked last week and produce a write-up.,todo,1,2026-06-09,,[],[],[]
t117,p031,b114,,Investigate auth gateway flaky tests,Coordinate with the backend team on Linux migration.,todo,3,2026-05-15,,[],[],[]
t118,p023,b079,,Document job runner runbook,Investigate why Monitoring usage spiked last week and produce a write-up.,todo,1,,"infrastructure,review",[],[],[]
t119,p040,b145,,Investigate and document the root cause of the intermittent 502 errors observed during the morning peak traffic window in the production payment gateway and propose a remediation plan covering load balancing strategy,Coordinate with the ML team on Kubernetes migration.,todo,9,2026-06-12,"infrastructure,devops",[],[],[]
t120,p042,b152,,Roll out audit log viewer to staging,Review the Terraform configuration across production and propose adjustments.,todo,1,2026-05-25,"infrastructure,monitoring,cost",[],[],[]
t121,p006,b011,,Roll out feature flag dashboard to production,Provision Terraform resources for the upcoming launch and verify capacity.,todo,5,2026-05-23,"infrastructure,reliability,terraform",[],[],[]
t122,p049,b178,,Patch CVE in search index,Document the steps to run Kubernetes integration in the new environment.,todo,1,2026-06-11,"infrastructure,cloud,reliability",[],[],[]
t123,p006,b011,,Investigate search index timeouts,Document the steps to run Linux integration in the new environment.,todo,5,2026-08-13,,[],[],[]
t124,p014,b044,,Set up Kafka for backend team,Review the Docker configuration across production and propose adjustments.,todo,3,,,[],[],[]
t125,p025,b090,u207,Document search index runbook,Review the Linux configuration across production and propose adjustments.,todo,9,2026-02-14,,[],[],[]
t126,p033,b120,,Cleanup,Review the Kubernetes configuration across production and propose adjustments.,todo,5,2026-06-14,"infrastructure,review,cost",[],[],[]
t127,p017,b057,,Bugfix,Provision Monitoring resources for the upcoming launch and verify capacity.,todo,3,2026-07-08,"infrastructure,infrastructure",[],[],[]
t128,p011,b035,,Migrate nginx ingress to v2.0,Coordinate with the backend team on Kubernetes migration.,todo,3,2026-07-21,,[],[],[]
t129,p016,b054,,Investigate auth gateway cost regression,Provision Monitoring resources for the upcoming launch and verify capacity.,todo,3,2026-05-20,"infrastructure,review",[],[],[]
t130,p001,b002,"u001,u015",Tests,Review the Terraform configuration across production and propose adjustments.,todo,5,2026-06-18,"infrastructure,devops",[],[],[]
t131,p006,b018,,Audit API gateway security and policies,Provision Docker resources for the upcoming launch and verify capacity.,todo,5,2026-07-04,"infrastructure,terraform",[],[],[]
t132,p042,b152,,Roll out audit log viewer to canary,Coordinate with the backend team on Kubernetes migration.,todo,1,2026-06-18,,[],[],[]
t133,p050,b182,"u018,u003",Investigate auth gateway cost regression,Investigate why Kubernetes usage spiked last week and produce a write-up.,todo,3,2026-06-14,"infrastructure,devops",[],[],[]
t134,p039,b144,,Investigate auth gateway latency spike,Provision Monitoring resources for the upcoming launch and verify capacity.,todo,1,,"infrastructure,review,devops",[],[],[]
t135,p047,b170,,Refactor,Review the Kubernetes configuration across production and propose adjustments.,todo,3,2026-06-14,,[],[],[]
t136,p044,b160,"u144,u062",Cleanup,Investigate why Linux usage spiked last week and produce a write-up.,todo,1,2026-08-15,,[],[],[]
t137,p023,b079,"u172,u158,u238",Update Redis configuration,Investigate why Kubernetes usage spiked last week and produce a write-up.,todo,3,,"infrastructure,terraform,review",[],[],[]
t138,p041,b149,"u287,u091,u270",Document event bus runbook,Document the steps to run Docker integration in the new environment.,todo,9,,"infrastructure,review,monitoring",[],[],[]
t139,p017,b057,"u038,u075",Tests,Coordinate with the data team on Kubernetes migration.,todo,1,,"infrastructure,monitoring,cost",[],[],[]
t140,p047,b172,,Document job runner runbook,Investigate why Security usage spiked last week and produce a write-up.,todo,5,2026-01-26,,[],[],[]
t141,p014,b044,u008,Design and validate a phased migration plan for moving the monolithic billing service into the new microservices platform without exceeding the agreed maintenance window for end-customer-facing endpoints,Review the Kubernetes configuration across production and propose adjustments.,todo,5,2026-05-20,"infrastructure,review",[],[],[]
t142,p024,b083,"u287,u026,u092",,Provision Monitoring resources for the upcoming launch and verify capacity.,todo,5,2026-04-24,"infrastructure,devops",[],[],[]
t143,p025,b088,,Review payment service architecture,Coordinate with the data team on Terraform migration.,todo,1,2026-09-15,,[],[],[]
t144,p039,b141,,Bugfix,Coordinate with the platform team on Docker migration.,todo,9,2026-02-14,,[],[],[]
t145,p038,b139,,Document nginx ingress runbook,Coordinate with the data team on Security migration.,todo,3,2026-06-02,"infrastructure,aws,review",[],[],[]
t146,p030,b108,,Review event bus architecture,Provision AWS resources for the upcoming launch and verify capacity.,todo,5,2026-05-30,"infrastructure,reliability",[],[],[]
t147,p045,b162,,Set up Redis for ML team,Coordinate with the data team on NLP migration.,done,9,,,[],[],[]
t148,p050,b182,,Update Kafka configuration,Investigate why Next.js usage spiked last week and produce a write-up.,done,1,2026-03-09,"mobile,qa",[],[],[]
t149,p014,b045,u026,Patch CVE in payment service,Review the Linux configuration across production and propose adjustments.,todo,3,2026-08-05,,[],[],[]
t150,p014,b046,,Coordinate with the security task force to audit the entire IAM policy surface across all AWS accounts and produce a prioritized remediation backlog based on least-privilege deviations,Review the Kubernetes configuration across production and propose adjustments.,done,1,2026-05-28,,[],[],[]
t151,p025,b089,,Cleanup,Provision Docker resources for the upcoming launch and verify capacity.,done,1,,,[],[],[]
t152,p024,b085,u258,Investigate and document the root cause of the intermittent 502 errors observed during the morning peak traffic window in the production payment gateway and propose a remediation plan covering load balancing strategy,Investigate why PostgreSQL usage spiked last week and produce a write-up.,todo,1,2026-02-08,"design-system,react",[],[],[]
t153,p036,b132,"u123,u033,u250",Audit API gateway security and policies,Provision Terraform resources for the upcoming launch and verify capacity.,todo,9,2026-04-12,,[],[],[]
t154,p014,b047,,Docs,Provision NLP resources for the upcoming launch and verify capacity.,todo,9,2026-05-06,qa,[],[],[]
t155,p046,b166,,Audit Kubernetes cluster security and policies,Review the Monitoring configuration across production and propose adjustments.,in progress,9,2026-08-26,"infrastructure,cost,security",[],[],[]
t156,p025,b088,,Investigate auth gateway latency spike,Provision Airflow resources for the upcoming launch and verify capacity.,todo,9,2026-05-26,,[],[],[]
t157,p023,b082,,Roll out audit log viewer to staging,Document the steps to run NLP integration in the new environment.,done,3,2026-06-19,"product,documentation",[],[],[]
t158,p035,b126,,Audit Kubernetes cluster security and policies,Review the Kafka configuration across production and propose adjustments.,todo,3,2026-06-07,"frontend,mobile,product",[],[],[]
t159,p033,b121,,Set up Redis for ML team,Provision Monitoring resources for the upcoming launch and verify capacity.,done,9,2026-02-25,"infrastructure,infrastructure",[],[],[]
t160,p007,b021,,,Provision TypeScript resources for the upcoming launch and verify capacity.,in progress,9,2026-06-02,,[],[],[]
t161,p042,b154,,Update Kafka configuration,Review the Linux configuration across production and propose adjustments.,todo,5,2026-07-14,"infrastructure,security",[],[],[]
t162,p050,b181,"u302,u198,u070",Migrate search index to v2.0,Investigate why React usage spiked last week and produce a write-up.,done,1,2026-05-28,,[],[],[]
t163,p011,b034,u101,Investigate nginx ingress memory leak,Document the steps to run React integration in the new environment.,todo,1,2026-07-24,"mobile,documentation",[],[],[]
t164,p028,b102,,Roll out feature flag dashboard to canary,Investigate why ML usage spiked last week and produce a write-up.,in progress,1,2026-05-24,,[],[],[]
t165,p022,b076,,Design and validate a phased migration plan for moving the monolithic billing service into the new microservices platform without exceeding the agreed maintenance window for end-customer-facing endpoints,Document the steps to run PostgreSQL integration in the new environment.,todo,3,2026-05-21,"react,frontend,product",[],[],[]
t166,p012,b039,,Migrate search index to v2.0,Coordinate with the ML team on Node.js migration.,todo,3,2026-06-05,,[],[],[]
t167,p004,b016,"u004,u012",Audit CI pipeline security and policies,Coordinate with the data team on React migration.,in progress,9,2026-06-08,,[],[],[]
t168,p036,b132,,,Coordinate with the platform team on Terraform migration.,in progress,5,2026-05-28,,[],[],[]
t169,p004,b007,"u012,u004",Refactor,Document the steps to run Airflow integration in the new environment.,in progress,5,2026-09-11,,[],[],[]
t170,p025,b089,,Set up Kafka for backend team,Investigate why Next.js usage spiked last week and produce a write-up.,todo,9,2026-06-15,,[],[],[]
t171,p019,b064,,Audit API gateway security and policies,Provision Kubernetes resources for the upcoming launch and verify capacity.,in progress,9,2026-07-28,"infrastructure,reliability",[],[],[]
t172,p040,b145,"u199,u243",Investigate auth gateway timeouts,Investigate why Redis usage spiked last week and produce a write-up.,done,1,2026-05-15,,[],[],[]
t173,p006,b012,,Bugfix,Coordinate with the platform team on Linux migration.,in progress,5,2026-06-13,,[],[],[]
t174,p044,b161,,Docs,Investigate why Linux usage spiked last week and produce a write-up.,todo,3,2026-06-24,,[],[],[]
t175,p009,b030,"u197,u119",Bugfix,Coordinate with the backend team on Airflow migration.,in progress,1,2026-08-29,react,[],[],[]
t176,p008,b026,"u217,u197",Review auth gateway architecture,Provision TypeScript resources for the upcoming launch and verify capacity.,todo,5,2026-05-21,,[],[],[]
t177,p023,b079,,Roll out feature flag dashboard to staging,Provision NLP resources for the upcoming launch and verify capacity.,in progress,9,2026-05-21,,[],[],[]
t178,p029,b106,"u268,u052",Design and validate a phased migration plan for moving the monolithic billing service into the new microservices platform without exceeding the agreed maintenance window for end-customer-facing endpoints,Provision PostgreSQL resources for the upcoming launch and verify capacity.,in progress,3,2026-08-02,,[],[],[]
t179,p045,b162,u097,Logs,Review the Airflow configuration across production and propose adjustments.,done,9,2026-05-31,documentation,[],[],[]
